CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_NM,RPRSNTV_TEL_NO,ZIP_NO,FCLTY_ADDR,FCLTY_DETAIL_ADDR,MAIN_ITEM_CD,MAIN_ITEM_NM,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,COURSE_FLAG_CD,COURSE_ITEM_NM,COURSE_NM
27,대구,27290,달서구,한국복타협동조합,0536324442,42812,대구광역시 달서구 상인서로 46,"111동303호(상인동, 상인서한타운)",76,복싱,128.5441398,35.8148087,장애인강좌,,
27,대구,27290,달서구,정특수체육센터,0535817522,42620,대구광역시 달서구 이곡동로 33,4층(이곡동),03,기타종목,128.5113351,35.8542434,장애인강좌,,
27,대구,27140,동구,동촌스크린골프,0539860440,41143,대구광역시 동구 동촌역사로4길 6,"2층(검사동, 거상빌딩)",02,골프,128.6538543,35.8880616,장애인강좌,,
27,대구,27230,북구,합기도대구관,0539544904,41571,대구광역시 북구 대현남로 41,천지빌딩4층 대구관(대현동),75,합기도,128.6073237,35.8817150,장애인강좌,,
27,대구,27170,서구,계명대박사 인지태권도,0533564454,41714,대구광역시 서구 서대구로62길 85,비산동(비산동),22,태권도,128.5649459,35.8877233,장애인강좌,,
27,대구,27110,중구,식스에프,,41977,대구광역시 중구 남산로1길 29,남산애플타워 5층(남산동),79,필라테스,128.5811317,35.8576632,장애인강좌,,
27,대구,27290,달서구,계명대삼성태권도,,42767,대구광역시 달서구 화암로73길 14-16,3층 계명대삼성태권도(대곡동),22,태권도,128.5190896,35.8068221,장애인강좌,,
27,대구,27290,달서구,한국복타스포츠케어센터,0536564242,42759,대구광역시 달서구 조암남로32길 12,3층(대천동),76,복싱,128.5171607,35.8176974,장애인강좌,,
27,대구,27140,동구,정영아탁구클럽,029580327,41148,대구광역시 동구 화랑로80길 3,"146동 지하층 제비1호(방촌동, 우방강촌하이츠)",21,탁구,128.6687311,35.8759052,장애인강좌,,
27,대구,27260,수성구,정석태권도교육관,0537515333,42136,대구광역시 수성구 명덕로76길 74,3층 즐거운정석태권도(수성동1가),22,태권도,128.6114382,35.8512296,장애인강좌,,
27,대구,27710,달성군,구지탁구클럽,,43009,대구광역시 달성군 구지면 과학마을로 30,4층 구지탁구클럽,21,탁구,128.4164269,35.6555702,장애인강좌,,
27,대구,27290,달서구,합기도신무관,0535262448,42689,대구광역시 달서구 와룡로 151,5층(감삼동),75,합기도,128.5366819,35.8462062,장애인강좌,,
27,대구,27290,달서구,계명대아름드리태권도장,,42611,대구광역시 달서구 계대동문로 99,"보성화성상가타운 b1층 아름드리 태권도장(이곡동, 성서보성화성타운)",22,태권도,128.5034201,35.8564590,장애인강좌,,
27,대구,27200,남구,곰두리탁구클럽,0534749161,42433,대구광역시 남구 대봉로 162,지하 곰두리탁구클럽(이천동),21,탁구,128.6030431,35.8532959,장애인강좌,,
27,대구,27110,중구,사단법인 중구 청라스포츠클럽,0532562082,41954,대구광역시 중구 대봉로 208-1,청라국민체육센터 1층 청라스포츠클럽(대봉동),09,배드민턴,128.6030742,35.8570698,장애인강좌,,
27,대구,27710,달성군,계명대이지태권스쿨,0536338344,42965,대구광역시 달성군 화원읍 성암로1길 19,대경빌딩 5층,22,태권도,128.5097675,35.8019940,장애인강좌,,
27,대구,27290,달서구,계명대효신태권도,0536432626,42814,대구광역시 달서구 상화북로 196,상가 105동 201호(상인동.제림아파트),22,태권도,128.5478035,35.8136317,장애인강좌,,
27,대구,27230,북구,장인길합기도체육관,0539524777,41475,대구광역시 북구 호국로51길 5-11,401호(서변동),75,합기도,128.5986522,35.9239463,장애인강좌,,
27,대구,27290,달서구,대구시설공단(두류수영장),0536232156,42672,대구광역시 달서구 공원순환로 223,두류수영장(성당동),12,수영,128.5616661,35.8452642,장애인강좌,,
27,대구,27230,북구,기품있는태권도장,029561020,41574,대구광역시 북구 대현남로2길 38,2층 기품태권도장(대현동),22,태권도,128.6055792,35.8790359,장애인강좌,,
27,대구,27200,남구,예스아동발달센터,,42412,대구광역시 남구 중앙대로41길 68-15,관영위드빌 교대 101호(대명동),03,기타종목,128.5869601,35.8510536,장애인강좌,,
27,대구,27260,수성구,신은정탁구클럽,0537431210,42119,대구광역시 수성구 명덕로 437,3층 신은정탁구클럽(수성동3가),21,탁구,128.6180383,35.8544312,장애인강좌,,
27,대구,27260,수성구,세계태권도,0537815020,42198,수성구 범물동 1277-8,"대구광역시 수성구 지범로39길 11-12,3층",22,태권도,128.6413147,35.8210443,장애인강좌,,
27,대구,27230,북구,산격태권도,0539411010,41537,대구광역시 북구 산격로 49,3층(산격동),22,태권도,128.6050805,35.8951010,장애인강좌,,
27,대구,27230,북구,송림스포츠,0533126000,41457,대구광역시 북구 칠곡중앙대로 309,송림스포츠(태전동),12,수영,128.5464631,35.9233752,장애인강좌,,
27,대구,27110,중구,열정의계성태권도,0532536658,41971,대구광역시 중구 남산로 30,"상가 3층 열정의계성태권도(남산동, 극동 스타클래스 남산)",22,태권도,128.5838168,35.8598715,장애인강좌,,
27,대구,27230,북구,김미경아동발달지원센터,0533128278,41423,대구광역시 북구 학정로 429,6층(동천동),03,기타종목,128.5632386,35.9430706,장애인강좌,,
27,대구,27110,중구,바른발달센터,0532542604,41978,대구광역시 중구 남산로13길 17,"116동 2층 202호(남산동, 보성황실아파트)",03,기타종목,128.5812841,35.8601784,장애인강좌,,
27,대구,27260,수성구,(주)파랑새발달클리닉,0537540119,42015,대구광역시 수성구 범어천로 186,304호(범어동),79,필라테스,128.6211637,35.8632515,장애인강좌,,
27,대구,27710,달성군,하랑태권도,0536146787,42979,대구광역시 달성군 논공읍 논공로21길 14-6,2층 하랑태권도장,22,태권도,128.4451334,35.7302527,장애인강좌,,
27,대구,27230,북구,에이스태권스포츠센터,0533584845,41586,대구광역시 북구 호암로 20,"상가 301호(칠성동2가, 성광우방타운)",22,태권도,128.5916530,35.8823179,장애인강좌,,
27,대구,27710,달성군,합기도 비천관,0536144144,42985,대구광역시 달성군 논공읍 남리3길 2,남1리 617-43,75,합기도,128.4502319,35.7238859,장애인강좌,,
27,대구,27260,수성구,온리유탁구클럽,,42099,대구광역시 수성구 동대구로 268,(범어동),21,탁구,128.6258586,35.8542930,장애인강좌,,
27,대구,27140,동구,삼팔이,0539591382,41185,대구광역시 동구 아양로39길 6,2층(신암동),25,헬스,128.6348278,35.8865604,장애인강좌,,
27,대구,27290,달서구,엘리트복싱클럽(상인점),0536367005,42812,대구광역시 달서구 상인서로 30-7,지하1층(상인동),76,복싱,128.5458711,35.8138593,장애인강좌,,
27,대구,27200,남구,상록수태권도장,026299805,42401,대구광역시 남구 명덕로14길 67,3층,22,태권도,128.5769049,35.8556068,장애인강좌,,
27,대구,27110,중구,엘림아동발달센터,0535566522,41978,대구광역시 중구 남산로13길 17,"보성황실상가 2층 201호(남산동, 보성황실아파트)",03,기타종목,128.5812841,35.8601784,장애인강좌,,
27,대구,27260,수성구,lb피트니스,0537633385,42140,대구광역시 수성구 동대구로 251,"2,3층(범어동)",25,헬스,128.6247209,35.8529035,장애인강좌,,
27,대구,27170,서구,대구광역시서구청,0536633661,41759,대구광역시 서구 문화로 72,서구국민체육센터(이현동),03,기타종목,128.5409908,35.8733951,장애인강좌,,
27,대구,27230,북구,손세동 클라이밍,,41423,대구광역시 북구 동천로23길 8,세신빌딩 3층(동천동),03,기타종목,128.5597480,35.9422177,장애인강좌,,
27,대구,27230,북구,산격스포츠,0539553928,41535,대구광역시 북구 동북로 150,6층 산격스포츠(산격동),25,헬스,128.6090187,35.8998377,장애인강좌,,
27,대구,27230,북구,하늘빛태권도,0533142004,41431,대구광역시 북구 팔거천동로 104,"후문지하상가 하늘빛태권도(동천동, 칠곡2차보성서한타운)",22,태권도,128.5570127,35.9334315,장애인강좌,,
27,대구,27710,달성군,필승체육관,0536163566,42979,대구광역시 달성군 논공읍 논공로17길 16-20,3층 필승체육관,76,복싱,128.4438348,35.7299302,장애인강좌,,
27,대구,27260,수성구,필라테스원,,42271,대구광역시 수성구 달구벌대로 3257,3층 필라테스원(신매동),79,필라테스,128.7126574,35.8381158,장애인강좌,,
27,대구,27110,중구,더 봄 필라테스,0537100415,41937,대구광역시 중구 중앙대로 412,지하1층(남일동),79,필라테스,128.5943200,35.8699639,장애인강좌,,
27,대구,27200,남구,남구국민체육센터,0534767330,42503,대구광역시 남구 앞산순환로 686,남구국민체육센터(봉덕동),25,헬스,128.6000890,35.8329790,장애인강좌,,
